pref,date,conf.daily,conf.weekly,conf.csum,deaths.daily,deaths.weekly,deaths.csum
Aichi,2020-01-26,1,1,1,1,1,1
Aichi,2020-01-27,0,1,1,0,1,1
Aichi,2020-01-28,1,2,2,1,2,2
Aichi,2020-01-29,0,2,2,0,2,2
Aichi,2020-01-30,0,2,2,0,2,2
Aichi,2020-01-31,0,2,2,0,2,2
Aichi,2020-02-01,0,2,2,0,2,2
Aichi,2020-02-02,0,1,2,0,1,2
Aichi,2020-02-03,0,1,2,0,1,2
Aichi,2020-02-04,0,0,2,0,0,2
Aichi,2020-02-05,0,0,2,0,0,2
Aichi,2020-02-06,0,0,2,0,0,2
Aichi,2020-02-07,0,0,2,0,0,2
Aichi,2020-02-08,0,0,2,0,0,2
Aichi,2020-02-09,0,0,2,0,0,2
Aichi,2020-02-10,0,0,2,0,0,2
Aichi,2020-02-11,0,0,2,0,0,2
Aichi,2020-02-12,0,0,2,0,0,2
Aichi,2020-02-13,0,0,2,0,0,2
Aichi,2020-02-14,1,1,3,1,1,3
Aichi,2020-02-15,1,2,4,1,2,4
Aichi,2020-02-16,2,4,6,2,4,6
Aichi,2020-02-17,0,4,6,0,4,6
Aichi,2020-02-18,1,5,7,1,5,7
Aichi,2020-02-19,1,6,8,1,6,8
Aichi,2020-02-20,1,7,9,1,7,9
Aichi,2020-02-21,2,8,11,2,8,11
Aichi,2020-02-22,4,11,15,4,11,15
Aichi,2020-02-23,2,11,17,2,11,17
Aichi,2020-02-24,0,11,17,0,11,17
Aichi,2020-02-25,3,13,20,3,13,20
Aichi,2020-02-26,5,17,25,5,17,25
Aichi,2020-02-27,2,18,27,2,18,27
Aichi,2020-02-28,1,17,28,1,17,28
Aichi,2020-02-29,1,14,29,1,14,29
Aichi,2020-03-01,3,15,32,3,15,32
Aichi,2020-03-02,0,15,32,0,15,32
Aichi,2020-03-03,9,21,41,9,21,41
Aichi,2020-03-04,8,24,49,8,24,49
Aichi,2020-03-05,8,30,57,8,30,57
Aichi,2020-03-06,5,34,62,5,34,62
Aichi,2020-03-07,7,40,69,7,40,69
Aichi,2020-03-08,11,48,80,11,48,80
Aichi,2020-03-09,6,54,86,6,54,86
Aichi,2020-03-10,14,59,100,14,59,100
Aichi,2020-03-11,6,57,106,6,57,106
Aichi,2020-03-12,7,56,113,7,56,113
Aichi,2020-03-13,4,55,117,4,55,117
Aichi,2020-03-14,8,56,125,8,56,125
Aichi,2020-03-15,1,46,126,1,46,126
Aichi,2020-03-16,4,44,130,4,44,130
Aichi,2020-03-17,2,32,132,2,32,132
Aichi,2020-03-18,5,31,137,5,31,137
Aichi,2020-03-19,4,28,141,4,28,141
Aichi,2020-03-20,6,30,147,6,30,147
Aichi,2020-03-21,2,24,149,2,24,149
Aichi,2020-03-22,2,25,151,2,25,151
Aichi,2020-03-23,2,23,153,2,23,153
Aichi,2020-03-24,3,24,156,3,24,156
Aichi,2020-03-25,6,25,162,6,25,162
Aichi,2020-03-26,4,25,166,4,25,166
Aichi,2020-03-27,3,22,169,3,22,169
Aichi,2020-03-28,4,24,173,4,24,173
Aichi,2020-03-29,3,25,176,3,25,176
Aichi,2020-03-30,3,26,179,3,26,179
Aichi,2020-03-31,8,31,187,8,31,187
Aichi,2020-04-01,5,30,192,5,30,192
Aichi,2020-04-02,7,33,199,7,33,199
Aichi,2020-04-03,12,42,211,12,42,211
Aichi,2020-04-04,19,57,230,19,57,230
Aichi,2020-04-05,8,62,238,8,62,238
Aichi,2020-04-06,12,71,250,12,71,250
Aichi,2020-04-07,21,84,271,21,84,271
Aichi,2020-04-08,20,99,291,20,99,291
Aichi,2020-04-09,21,113,312,21,113,312
