iso,fullken,total,first,second,date,tier,date.scrape,shipped,used.percent
JP-01,北海道,1004,1004,0,2021-04-25,KOREI,2021-04-28,NA,NA
JP-01,北海道,4277,4277,0,2021-05-05,KOREI,2021-05-06,NA,NA
JP-01,北海道,7861,7819,42,2021-05-09,KOREI,2021-05-10,NA,NA
JP-01,北海道,28860,27725,1135,2021-05-16,KOREI,2021-05-17,NA,NA
JP-01,北海道,77032,73824,3208,2021-05-23,KOREI,2021-05-24,NA,NA
JP-01,北海道,115865,72190,43675,2021-04-23,IRYO,2021-04-28,NA,NA
JP-01,北海道,146108,95871,50237,2021-04-30,IRYO,2021-05-06,NA,NA
JP-01,北海道,159772,153300,6472,2021-05-30,KOREI,2021-05-31,NA,NA
JP-01,北海道,164622,110357,54265,2021-05-07,IRYO,2021-05-10,NA,NA
JP-01,北海道,209822,140506,69316,2021-05-14,IRYO,2021-05-17,NA,NA
JP-01,北海道,266698,174981,91717,2021-05-21,IRYO,2021-05-24,NA,NA
JP-01,北海道,298934,269897,29037,2021-06-06,KOREI,2021-06-07,NA,NA
JP-01,北海道,313254,206716,106538,2021-05-28,IRYO,2021-05-31,NA,NA
JP-01,北海道,364565,230646,133919,2021-06-04,IRYO,2021-06-07,NA,NA
JP-01,北海道,420618,250086,170532,2021-06-11,IRYO,2021-06-14,NA,NA
JP-01,北海道,479104,271936,207168,2021-06-18,IRYO,2021-06-21,NA,NA
JP-01,北海道,511938,434141,77797,2021-06-13,KOREI,2021-06-14,NA,NA
JP-01,北海道,518444,288261,230183,2021-06-25,IRYO,2021-06-28,NA,NA
JP-01,北海道,548235,300156,248079,2021-07-02,IRYO,2021-07-05,NA,NA
JP-01,北海道,580306,314908,265398,2021-07-12,IRYO,2021-07-13,NA,NA
JP-01,北海道,600054,322374,277680,2021-07-19,IRYO,2021-07-19,NA,NA
JP-01,北海道,741092,576244,164848,2021-06-20,KOREI,2021-06-21,NA,NA
