iso,fullken,total,first,second,date,tier,date.scrape,shipped,used.percent
JP-01,北海道,600054,322374,277680,2021-07-19,IRYO,2021-07-20,NA,NA
JP-02,青森県,125082,66819,58263,2021-07-19,IRYO,2021-07-20,NA,NA
JP-03,岩手県,132559,71386,61173,2021-07-19,IRYO,2021-07-20,NA,NA
JP-04,宮城県,262923,145638,117285,2021-07-19,IRYO,2021-07-20,NA,NA
JP-05,秋田県,104130,56343,47787,2021-07-19,IRYO,2021-07-20,NA,NA
JP-06,山形県,110660,58503,52157,2021-07-19,IRYO,2021-07-20,NA,NA
JP-07,福島県,196067,103523,92544,2021-07-19,IRYO,2021-07-20,NA,NA
JP-08,茨城県,264820,142629,122191,2021-07-19,IRYO,2021-07-20,NA,NA
JP-09,栃木県,157040,83586,73454,2021-07-19,IRYO,2021-07-20,NA,NA
JP-10,群馬県,186165,100666,85499,2021-07-19,IRYO,2021-07-20,NA,NA
JP-11,埼玉県,567194,306550,260644,2021-07-19,IRYO,2021-07-20,NA,NA
JP-12,千葉県,496056,267056,229000,2021-07-19,IRYO,2021-07-20,NA,NA
JP-13,東京都,1122840,600150,522690,2021-07-19,IRYO,2021-07-20,NA,NA
JP-14,神奈川県,717260,384341,332919,2021-07-19,IRYO,2021-07-20,NA,NA
JP-15,新潟県,210817,118113,92704,2021-07-19,IRYO,2021-07-20,NA,NA
JP-16,富山県,105877,55662,50215,2021-07-19,IRYO,2021-07-20,NA,NA
JP-17,石川県,123992,65653,58339,2021-07-19,IRYO,2021-07-20,NA,NA
JP-18,福井県,91749,48481,43268,2021-07-19,IRYO,2021-07-20,NA,NA
JP-19,山梨県,80174,43821,36353,2021-07-19,IRYO,2021-07-20,NA,NA
JP-20,長野県,191229,103044,88185,2021-07-19,IRYO,2021-07-20,NA,NA
JP-21,岐阜県,197084,102967,94117,2021-07-19,IRYO,2021-07-20,NA,NA
JP-22,静岡県,300684,161594,139090,2021-07-19,IRYO,2021-07-20,NA,NA
JP-23,愛知県,646720,360988,285732,2021-07-19,IRYO,2021-07-20,NA,NA
JP-24,三重県,166200,87688,78512,2021-07-19,IRYO,2021-07-20,NA,NA
JP-25,滋賀県,116374,61947,54427,2021-07-19,IRYO,2021-07-20,NA,NA
JP-26,京都府,254597,139232,115365,2021-07-19,IRYO,2021-07-20,NA,NA
JP-27,大阪府,749993,402721,347272,2021-07-19,IRYO,2021-07-20,NA,NA
JP-28,兵庫県,490893,261788,229105,2021-07-19,IRYO,2021-07-20,NA,NA
JP-29,奈良県,136086,71475,64611,2021-07-19,IRYO,2021-07-20,NA,NA
JP-30,和歌山県,99718,53230,46488,2021-07-19,IRYO,2021-07-20,NA,NA
JP-31,鳥取県,63006,33094,29912,2021-07-19,IRYO,2021-07-20,NA,NA
JP-32,島根県,73911,40092,33819,2021-07-19,IRYO,2021-07-20,NA,NA
JP-33,岡山県,236783,131852,104931,2021-07-19,IRYO,2021-07-20,NA,NA
JP-34,広島県,288707,154792,133915,2021-07-19,IRYO,2021-07-20,NA,NA
JP-35,山口県,176647,98012,78635,2021-07-19,IRYO,2021-07-20,NA,NA
JP-36,徳島県,96713,50925,45788,2021-07-19,IRYO,2021-07-20,NA,NA
JP-37,香川県,100981,53526,47455,2021-07-19,IRYO,2021-07-20,NA,NA
JP-38,愛媛県,154941,80669,74272,2021-07-19,IRYO,2021-07-20,NA,NA
JP-39,高知県,83662,43529,40133,2021-07-19,IRYO,2021-07-20,NA,NA
JP-40,福岡県,500356,266090,234266,2021-07-19,IRYO,2021-07-20,NA,NA
