都道府県名,陽性者数,検査人数,備考
北海道,152,1515,
青森県,0,74,
岩手県,0,24,
宮城県,1,129,
秋田県,2,108,
山形県,0,120,
福島県,2,117,
茨城県,1,436,
栃木県,2,227,
群馬県,10,244,
埼玉県,33,614,
千葉県,31,1004,
東京都,108,1524,3/16時点
神奈川県,55,,
新潟県,20,,
富山県,0,51,
石川県,7,162,
福井県,0,84,
山梨県,2,315,
長野県,4,284,
岐阜県,2,322,
静岡県,3,,
愛知県,125,847,
三重県,8,277,
滋賀県,4,124,
京都府,19,743,
大阪府,112,,
兵庫県,85,951,
奈良県,8,153,
和歌山県,15,1076,
鳥取県,0,104,
島根県,0,84,
岡山県,0,166,
広島県,1,502,
山口県,3,149,
徳島県,1,115,
香川県,1,109,
愛媛県,2,167,
高知県,12,256,
福岡県,4,583,
佐賀県,1,85,
長崎県,1,179,
熊本県,6,,
大分県,1,155,
宮崎県,3,129,
鹿児島県,0,,
沖縄県,3,217,
合計,850,14525,
