,2020-03-18,対前日比,うち現在は入院等,,うち退院,,うち死亡,
北海道,153,2,77,50%,69,45%,7,5%
愛知県,123,2,106,86%,3,2%,14,11%
東京都,105,9,80,76%,23,22%,2,2%
大阪府,100,5,78,78%,22,22%,0,0%
兵庫県,69,5,66,96%,0,0%,3,4%
神奈川県,52,3,42,81%,6,12%,4,8%
埼玉県,32,1,28,88%,4,13%,0,0%
千葉県,31,2,22,71%,9,29%,0,0%
京都府,17,1,11,65%,6,35%,0,0%
新潟県,17,1,16,94%,1,6%,0,0%
和歌山県,13,0,4,31%,8,62%,1,8%
高知県,11,0,5,45%,6,55%,0,0%
群馬県,10,0,10,100%,0,0%,0,0%
熊本県,5,0,5,100%,0,0%,0,0%
石川県,5,0,4,80%,1,20%,0,0%
三重県,5,0,4,80%,1,20%,0,0%
福岡県,4,0,3,75%,1,25%,0,0%
奈良県,4,0,2,50%,2,50%,0,0%
滋賀県,4,0,4,100%,0,0%,0,0%
岐阜県,3,1,2,67%,1,33%,0,0%
栃木県,3,1,1,33%,2,67%,0,0%
沖縄県,3,0,1,33%,2,67%,0,0%
長野県,3,0,3,100%,0,0%,0,0%
静岡県,3,0,2,67%,1,33%,0,0%
宮崎県,3,0,3,100%,0,0%,0,0%
愛媛県,2,1,1,50%,1,50%,0,0%
茨城県,2,1,2,100%,0,0%,0,0%
山梨県,2,0,2,100%,0,0%,0,0%
福島県,2,0,2,100%,0,0%,0,0%
福井県,1,1,1,100%,0,0%,0,0%
秋田県,1,0,0,0%,1,100%,0,0%
宮城県,1,0,0,0%,1,100%,0,0%
大分県,1,0,0,0%,1,100%,0,0%
山口県,1,0,1,100%,0,0%,0,0%
広島県,1,0,0,0%,1,100%,0,0%
香川県,1,0,1,100%,0,0%,0,0%
佐賀県,1,0,1,100%,0,0%,0,0%
総計,794,36,590,74%,173,22%,31,4%
