,2020-03-21,,うち現在は入院等,,うち退院,,うち死亡,
北海道,158,1,71,45%,81,51%,6,4%
愛知県,132,2,108,82%,8,6%,16,12%
東京都,130,7,101,78%,25,19%,4,3%
大阪府,108,2,81,75%,26,24%,1,1%
兵庫県,81,5,75,93%,2,2%,4,5%
神奈川県,61,3,45,74%,12,20%,4,7%
埼玉県,41,3,34,83%,7,17%,0,0%
千葉県,40,1,26,65%,14,35%,0,0%
新潟県,22,5,20,91%,2,9%,0,0%
京都府,19,1,12,63%,7,37%,0,0%
和歌山県,15,0,5,33%,9,60%,1,7%
大分県,11,5,10,91%,1,9%,0,0%
高知県,11,0,0,0%,11,100%,0,0%
群馬県,11,0,11,100%,0,0%,0,0%
熊本県,6,0,5,83%,1,17%,0,0%
石川県,6,0,3,50%,3,50%,0,0%
三重県,6,0,5,83%,1,17%,0,0%
福岡県,5,0,3,60%,2,40%,0,0%
栃木県,4,1,3,75%,1,25%,0,0%
奈良県,4,0,2,50%,2,50%,0,0%
滋賀県,4,0,4,100%,0,0%,0,0%
沖縄県,3,0,1,33%,2,67%,0,0%
長野県,3,0,2,67%,1,33%,0,0%
岐阜県,3,0,2,67%,1,33%,0,0%
静岡県,3,0,2,67%,1,33%,0,0%
宮崎県,3,0,3,100%,0,0%,0,0%
茨城県,3,0,3,100%,0,0%,0,0%
山梨県,2,0,2,100%,0,0%,0,0%
愛媛県,2,0,1,50%,1,50%,0,0%
広島県,2,0,1,50%,1,50%,0,0%
福島県,2,0,2,100%,0,0%,0,0%
秋田県,1,0,0,0%,1,100%,0,0%
宮城県,1,0,0,0%,1,100%,0,0%
山口県,1,0,1,100%,0,0%,0,0%
福井県,1,0,1,100%,0,0%,0,0%
香川県,1,0,1,100%,0,0%,0,0%
佐賀県,1,0,1,100%,0,0%,0,0%
総計,907,36,647,71%,224,25%,36,4%
