,2020-03-28,うち現在は入院等,,うち退院,,うち死亡,
東京都,368,327,89%,36,10%,5,1%
大阪府,192,142,74%,48,25%,2,1%
北海道,172,44,26%,121,70%,7,4%
愛知県,164,103,63%,42,26%,19,12%
千葉県,126,106,84%,19,15%,1,1%
兵庫県,125,99,79%,18,14%,8,6%
神奈川県,104,79,76%,20,19%,5,5%
埼玉県,78,60,77%,15,19%,3,4%
京都府,37,24,65%,13,35%,0,0%
新潟県,31,24,77%,7,23%,0,0%
大分県,27,26,96%,1,4%,0,0%
福岡県,21,19,90%,2,10%,0,0%
和歌山県,17,3,18%,13,76%,1,6%
岐阜県,16,15,94%,1,6%,0,0%
群馬県,15,14,93%,0,0%,1,7%
茨城県,13,13,100%,0,0%,0,0%
高知県,13,1,8%,12,92%,0,0%
福井県,12,12,100%,0,0%,0,0%
奈良県,11,3,27%,8,73%,0,0%
栃木県,11,9,82%,2,18%,0,0%
熊本県,10,7,70%,3,30%,0,0%
石川県,9,4,44%,5,56%,0,0%
三重県,9,7,78%,2,22%,0,0%
山口県,6,4,67%,2,33%,0,0%
青森県,6,6,100%,0,0%,0,0%
長野県,6,3,50%,3,50%,0,0%
沖縄県,6,4,67%,2,33%,0,0%
滋賀県,6,5,83%,1,17%,0,0%
秋田県,4,2,50%,2,50%,0,0%
静岡県,4,2,50%,2,50%,0,0%
愛媛県,4,2,50%,2,50%,0,0%
山梨県,4,2,50%,2,50%,0,0%
広島県,4,3,75%,1,25%,0,0%
岡山県,3,3,100%,0,0%,0,0%
宮崎県,3,2,67%,1,33%,0,0%
長崎県,2,2,100%,0,0%,0,0%
宮城県,2,1,50%,1,50%,0,0%
福島県,2,2,100%,0,0%,0,0%
徳島県,1,0,0%,1,100%,0,0%
香川県,1,1,100%,0,0%,0,0%
佐賀県,1,1,100%,0,0%,0,0%
鹿児島県,1,1,100%,0,0%,0,0%
総計,1647,1187,72%,408,25%,52,3%
