都道府県名,陽性者数,検査人数,%,備考
北海道,208,2488,8.4%,
青森県,12,260,4.6%,
岩手県,0,119,0.0%,
宮城県,34,558,6.1%,
秋田県,11,463,2.4%,
山形県,22,663,3.3%,
福島県,29,412,7.0%,
茨城県,77,1927,4.0%,
栃木県,21,831,2.5%,
群馬県,29,1423,2.0%,
埼玉県,242,1839,13.2%,HP
千葉県,317,1500,21.1%,
東京都,1347,4992,27.0%,
神奈川県,327,2203,14.8%,
新潟県,37,1462,2.5%,
富山県,14,499,2.8%,
石川県,66,472,14.0%,
福井県,67,407,16.5%,
山梨県,22,887,2.5%,
長野県,19,783,2.4%,
岐阜県,69,1046,6.6%,
静岡県,15,1295,1.2%,
愛知県,278,3467,8.0%,
三重県,13,824,1.6%,
滋賀県,24,409,5.9%,
京都府,149,1787,8.3%,
大阪府,525,1792,29.3%,
兵庫県,216,3327,6.5%,
奈良県,30,482,6.2%,
和歌山県,29,1756,1.7%,
鳥取県,0,258,0.0%,
島根県,0,185,0.0%,
岡山県,15,534,2.8%,
広島県,23,1486,1.5%,
山口県,17,513,3.3%,
徳島県,3,206,1.5%,
香川県,3,415,0.7%,
愛媛県,25,450,5.6%,
高知県,37,646,5.7%,
福岡県,161,3106,5.2%,
佐賀県,11,271,4.1%,
長崎県,12,813,1.5%,
熊本県,23,1552,1.5%,
大分県,41,1907,2.1%,
宮崎県,12,498,2.4%,
鹿児島県,3,483,0.6%,
沖縄県,32,588,5.4%,
合計,4667,54284,8.6%,
