都道府県名,陽性者数,検査人数,%
北海道,370,3735,9.9%
青森,22,468,4.7%
岩手,0,212,0.0%
宮城,79,1203,6.6%
秋田,16,706,2.3%
山形,58,1415,4.1%
福島,52,924,5.6%
茨城,131,3159,4.1%
栃木,44,1328,3.3%
群馬,114,1959,5.8%
埼玉,575,3836,15.0%
千葉,609,3286,17.2%
東京,2807,7244,38.7%
神奈川,710,3888,16.5%
新潟,53,2024,2.6%
富山,69,1274,5.4%
石川,160,977,16.4%
福井,104,955,10.9%
山梨,46,1435,3.2%
長野,47,1271,3.7%
岐阜,136,1892,7.2%
静岡,51,2011,2.5%
愛知,374,5008,7.5%
三重,32,1144,2.8%
滋賀,68,760,8.9%
京都,235,2565,9.2%
大阪,1076,4373,21.7%
兵庫,480,5060,9.5%
奈良,56,777,7.2%
和歌山,39,2263,1.7%
鳥取,1,543,0.2%
島根,15,606,2.5%
岡山,18,775,2.3%
広島,124,2733,4.5%
山口,30,977,3.1%
徳島,3,298,1.0%
香川,24,967,2.5%
愛媛,41,708,5.8%
高知,63,1039,6.1%
福岡,476,6414,7.4%
佐賀,16,513,3.1%
長崎,17,1325,1.3%
熊本,35,2204,1.6%
大分,54,2399,2.3%
宮崎,17,841,2.0%
鹿児島,6,732,0.8%
沖縄,101,1030,9.8%
合計,9654,91256,10.3%
