,2020-04-19,,対前日比,人口一万人当たり,うち現在は入院等,,うち退院,,うち死亡,
埼玉県,埼玉,642,32,0.870,601,94%,32,5%,9,1%
千葉県,千葉,661,18,1.060,582,88%,71,11%,8,1%
東京都,東京,3095,107,2.220,3017,97%,59,2%,19,1%
神奈川県,神奈川,784,30,0.850,694,89%,73,9%,17,2%
大阪府,大阪,1212,48,1.380,967,80%,233,19%,12,1%
兵庫県,兵庫,513,11,0.940,431,84%,65,13%,17,3%
福岡県,福岡,516,16,1.010,440,85%,66,13%,10,2%
北海道,北海道,434,27,0.830,245,56%,171,39%,18,4%
茨城県,茨城,139,4,0.490,118,85%,16,12%,5,4%
石川県,石川,178,5,1.560,169,95%,5,3%,4,2%
岐阜県,岐阜,139,2,0.700,120,86%,16,12%,3,2%
愛知県,愛知,401,10,0.530,310,77%,66,16%,25,6%
京都府,京都,251,9,0.970,178,71%,70,28%,3,1%
青森県,青森,22,0,0.180,16,73%,6,27%,0,0%
岩手県,岩手,0,0,0.000,0,ｰ,0,-,0,ｰ
宮城県,宮城,83,0,0.360,75,90%,8,10%,0,0%
秋田県,秋田,16,0,0.170,11,69%,5,31%,0,0%
山形県,山形,61,1,0.570,51,84%,10,16%,0,0%
福島県,福島,62,2,0.340,59,95%,3,5%,0,0%
栃木県,栃木,46,2,0.240,38,83%,8,17%,0,0%
群馬県,群馬,122,2,0.630,103,84%,14,11%,5,4%
新潟県,新潟,56,0,0.250,27,48%,29,52%,0,0%
富山県,富山,92,1,0.880,87,95%,4,4%,1,1%
福井県,福井,112,6,1.460,85,76%,23,21%,4,4%
山梨県,山梨,49,1,0.600,40,82%,9,18%,0,0%
長野県,長野,52,5,0.250,48,92%,4,8%,0,0%
静岡県,静岡,52,2,0.140,44,85%,8,15%,0,0%
三重県,三重,36,1,0.200,24,67%,11,31%,1,3%
滋賀県,滋賀,71,1,0.500,60,85%,10,14%,1,1%
奈良県,奈良,62,2,0.470,47,76%,14,23%,1,2%
和歌山県,和歌山,46,0,0.500,25,54%,20,43%,1,2%
鳥取県,鳥取,3,0,0.050,3,100%,0,0%,0,0%
島根県,島根,16,1,0.240,16,100%,0,0%,0,0%
岡山県,岡山,19,1,0.100,16,84%,3,16%,0,0%
広島県,広島,132,2,0.470,121,92%,11,8%,0,0%
山口県,山口,30,0,0.220,19,63%,11,37%,0,0%
徳島県,徳島,3,0,0.040,0,0%,3,100%,0,0%
香川県,香川,25,1,0.260,24,96%,1,4%,0,0%
愛媛県,愛媛,45,1,0.340,34,76%,8,18%,3,7%
高知県,高知,68,4,0.970,49,72%,18,26%,1,1%
佐賀県,佐賀,17,1,0.210,16,94%,1,6%,0,0%
長崎県,長崎,17,0,0.130,15,88%,2,12%,0,0%
熊本県,熊本,39,3,0.220,32,82%,6,15%,1,3%
大分県,大分,54,0,0.480,35,65%,18,33%,1,2%
宮崎県,宮崎,17,0,0.160,13,76%,4,24%,0,0%
鹿児島県,鹿児島,8,1,0.050,7,88%,1,13%,0,0%
沖縄県,沖縄,110,0,0.760,103,94%,6,5%,1,1%
