都道府県名,PCR検査陽,PCR検査実,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,928,8013,487,23,394,47
青   森,27,728 不明,,不明,,17 不明
岩    手,0,397,0,0,0,0
宮    城,88,2183,,13 不明,75,0
秋  田,16,861 不明,,不明,,0 不明
山    形,69,2401,,13 不明,,56 不明
福    島,81,2237,,38 不明,43,0
茨    城,168,3826,71,3,78,9
栃    木,54,2287 不明,,不明,,25 不明
群    馬,147,2930,,74 不明,55,18
埼    玉,946,11394,391,10,514,41
千    葉,876,11882,237,14,423,38
東    京,4810,12990,2503,78,2136,171
神 奈 川,1150,1947,417,34,645,47
新    潟,82,3345,,36 不明,,46 不明
富    山,216,2664,,126 不明,77,13
石    川,275,2175,,132 不明,127,16
福    井,122,1991,25,3,89,8
山    梨,56,2806,8,1,48,0
⾧    野,74,2054,37,2,,37 不明
岐    阜,150,3404,30,1,114,6
静    岡,73,3036,26,2,46,1
愛    知,491,7958,126,5,328,34
三    重,45,2093,14,0,30,1
滋    賀,97,1419,36,1,60,1
京    都,347,5267,,107 不明,227,13
大    阪,1716,20263,675,58,978,59
兵    庫,681,8654,194,24,454,32
奈    良,89,2035,,25 不明,62,2
和 歌 山,62,3310,,14 不明,46,2
鳥    取,3,1142,,2 不明,1,0
島    根,24,888 不明,,不明,,10 不明
岡    山,23,1321,,8 不明,,15 不明
広    島,165,5746,,102 不明,61,2
山    口,37,1498,,4 不明,,33 不明
徳    島,5,569 不明,,不明,,3 不明
香    川,28,1787,15,0,13,0
愛    媛,48,1238,7,2,38,3
高    知,74,1529,10,0,61,3
福    岡,651,10246,,184 不明,443,24
佐    賀,45,1209,23,2,20,0
⾧    崎,17,2878,2,0,14,1
熊    本,48,3375,29,3,17,2
大    分,60,3382 不明,,不明,51,1
宮    崎,17,1213,,6 不明,,11 不明
鹿 児 島,11,1446 不明,,不明,,7 不明
沖    縄,142,2403,,55 不明,82,5
(その他),149,623 不明,,不明,,0 不明
合計,15483,179043,6302,266,8110,600
