都道府県名,,陽性者数 検査人数,%
北海道,999,10183,9.8%
青森,27,800,3.4%
岩手,0,465,0.0%
宮城,88,2511,3.5%
秋田,16,905,1.8%
山形,69,2552,2.7%
福島,81,3047,2.7%
茨城,168,4202,4.0%
栃木,60,2844,2.1%
群馬,147,3268,4.5%
埼玉,984,15430,6.4%
千葉,898,12529,7.2%
東京,5050,14010,36.0%
神奈川,1251,9756,12.8%
新潟,83,3710,2.2%
富山,225,2915,7.7%
石川,286,2448,11.7%
福井,122,2297,5.3%
山梨,57,3205,1.8%
長野,76,2324,3.3%
岐阜,150,3039,4.9%
静岡,73,3282,2.2%
愛知,503,8896,5.7%
三重,45,2335,1.9%
滋賀,99,1582,6.3%
京都,358,6285,5.7%
大阪,1768,18932,9.3%
兵庫,698,9932,7.0%
奈良,90,2383,3.8%
和歌山,63,3504,1.8%
鳥取,3,1237,0.2%
島根,24,979,2.5%
岡山,25,1536,1.6%
広島,165,6320,2.6%
山口,37,1598,2.3%
徳島,5,663,0.8%
香川,28,1962,1.4%
愛媛,70,1441,4.9%
高知,74,1624,4.6%
福岡,657,12485,5.3%
佐賀,47,1310,3.6%
長崎,17,2535,0.7%
熊本,48,3656,1.3%
大分,60,3668,1.6%
宮崎,17,1290,1.3%
鹿児島,10,1599,0.6%
沖縄,142,2693,5.3%
その他,149,623,23.9%
合計,16112,206790,7.8%
