都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1144,16866,122,11,931,91
青   森,27,907,0,0,26,1
岩    手,0,776,0,0,0,0
宮    城,88,3253,0,0,87,1
秋  田,16,962,0,0,16,0
山    形,69,2474,2,1,67,0
福    島,81,5454,2,0,79,0
茨    城,168,5005,3,0,155,10
栃    木,66,5375,1,0,64,0
群    馬,151,4285,6,0,126,19
埼    玉,1019,26579,27,4,941,51
千    葉,918,16146,27,3,846,45
東    京,5473,16351,304,23,4856,313
神 奈 川,1402,11129,100,15,1213,89
新    潟,83,4553,1,0,81,0
富    山,227,3642,3,0,202,22
石    川,299,2824,31,2,241,27
福    井,122,2980,1,1,113,8
山    梨,69,4728,1,0,67,1
長    野,76,2983,4,0,72,-
岐    阜,153,4221,4,1,142,7
静    岡,77,3653,3,0,73,1
愛    知,513,11171,8,0,466,34
三    重,45,2620,0,0,44,1
滋    賀,100,2039,2,1,97,1
京    都,360,8953,4,0,338,18
大    阪,1786,34808,35,10,1663,85
兵    庫,699,11834,3,0,653,43
奈    良,92,3240,1,0,89,2
和 歌 山,63,3831,0,0,60,3
鳥    取,3,1419,0,0,3,0
島    根,24,1190,1,1,23,0
岡    山,25,1809,0,-,25,-
広    島,168,7393,0,0,165,3
山    口,37,1914,1,1,36,0
徳    島,5,806,0,0,4,1
香    川,28,2365,0,0,28,0
愛    媛,82,2510,9,0,69,4
高    知,74,1879,0,0,71,3
福    岡,812,14691,102,2,682,28
佐    賀,47,1531,0,0,47,0
長    崎,17,3006,0,0,16,1
熊    本,48,4092,0,0,45,3
大    分,60,4364,0,0,59,1
宮    崎,17,1470,0,0,17,0
鹿 児 島,11,2163,1,0,10,0
沖    縄,142,2940,0,0,139,7
(その他),149,-,1,-,148,-
合計,17135,279184,810,76,15395,924
