都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1250,20719,97,6,1054,99
青 森,27,981,0,0,26,1
岩手,0,942,0,0,0,0
宮城,94,3751,5,0,88,1
秋  田,16,994,0,0,16,0
山形,69,2541,1,1,68,0
福島,82,6793,1,0,81,0
茨城,174,5283,5,0,159,10
栃木,76,7113,12,0,65,0
群馬,153,5045,3,0,131,19
埼玉,1132,34582,109,3,958,65
千葉,960,18287,44,2,871,45
東京,6225,82706,453,10,5447,325
神奈川,1502,12551,68,10,1338,96
新潟,84,4936,1,0,82,0
富山,227,3923,0,0,205,22
石川,300,2905,16,1,257,27
福井,122,3397,0,0,114,8
山梨,74,5655,2,0,71,1
⾧野,77,3270,1,0,76,-
岐阜,156,5223,2,1,147,7
静岡,81,7551,3,0,77,1
愛知,524,12620,6,0,478,34
三重,46,2876,0,0,45,1
滋賀,101,2353,1,0,99,1
京都,379,10146,15,0,346,18
大阪,1816,39970,25,3,1705,86
兵庫,705,14857,8,0,652,45
奈良,92,3760,0,0,90,2
和歌山,64,3987,1,0,60,3
鳥取,3,1485,0,0,3,0
島根,24,1245,0,0,24,0
岡山,26,1935,1,-,25,-
広島,168,7824,0,0,165,3
山口,37,2306,0,0,37,0
徳島,6,908,1,0,4,1
香川,28,2698,0,0,28,0
愛媛,82,2613,1,1,77,4
高知,74,1971,0,0,71,3
福岡,846,16455,13,2,800,33
佐賀,47,1625,0,0,47,0
⾧崎,17,3236,0,0,16,1
熊本,49,4273,1,0,45,3
大分,60,4883,0,0,59,1
宮崎,17,1567,0,0,17,0
鹿児島,11,2587,0,0,11,0
沖縄,142,3019,0,0,139,7
(その他),149,-,1,-,148,-
合計,18394,390347,897,40,16522,973
