都道府県名,PCR検査陽性者,PCR検査実施人数,⼊院治療等を要する者(人),,退院⼜は療養解除となった者の数(人),死亡(累積)(人)
北海道,1267,21190,95,5,1072,100
⻘森,27,999,0,0,26,1
岩手,0,996,0,0,0,0
宮城,95,3868,4,0,90,1
秋田,16,998,0,0,16,0
山形,69,2549,1,1,68,0
福島,82,6990,1,0,81,0
茨城,176,5366,7,0,159,10
栃木,82,7456,16,0,66,0
群馬,153,5155,3,0,131,19
埼玉,1165,36009,131,3,969,65
千葉,978,18548,59,2,874,45
東京,6399,87151,534,9,5540,325
神奈川,1521,12813,104,7,1321,96
新潟,84,5020,0,0,83,0
富山,228,3984,1,0,205,22
石川,300,2918,16,1,257,27
福井,122,3461,0,0,114,8
⼭梨,75,5756,2,0,72,1
⻑野,77,3312,1,0,76,-
岐阜,160,5301,6,1,147,7
静岡,81,7766,1,0,79,1
愛知,525,12859,7,0,478,34
三重,46,2901,0,0,45,1
滋賀,103,2409,3,0,99,1
京都,383,10442,19,0,346,18
大阪,1851,41726,51,2,1714,86
兵庫,708,15056,7,0,656,45
奈良,92,3943,0,0,90,2
和歌山,64,4029,0,0,61,3
鳥取,4,1497,1,0,3,0
島根,24,1249,0,0,24,0
岡山,28,1954,3,-,25,-
広島,169,7880,1,0,165,3
山口,37,2372,0,0,37,0
徳島,6,935,1,0,4,1
香川,28,2754,0,0,28,0
愛媛,82,2622,0,0,77,5
高知,74,1980,0,0,71,3
福岡,854,16689,19,2,802,33
佐賀,47,1649,0,0,47,0
⻑崎,17,3294,0,0,16,1
熊本,49,4310,0,0,46,3
大分,60,4977,0,0,59,1
宮崎,17,1582,0,0,17,0
⿅児島,21,2628,10,0,11,0
沖縄,142,3028,0,0,139,7
(その他),149,-,1,-,148,-
合計,18737,402371,1105,33,16654,975
