都道府県名,陽性者数,PCR検査実施人数,⼊院治療等を要する者(人),,退院⼜は療養解除となった者の数(人),死亡(累積)(人)
北海道,1367,26110,90,5,1175,103
⻘森,31,1317,4,0,26,1
岩手,0,1290,0,0,0,0
宮城,138,5385,17,0,120,1
秋田,16,1054,0,0,16,0
山形,75,2841,3,0,72,1
福島,86,8836,4,0,82,0
茨城,237,6442,26,1,201,10
栃木,147,11837,46,0,97,0
群馬,177,7256,20,2,138,19
埼玉,1955,55838,480,5,1404,71
千葉,1406,24972,290,3,1070,46
東京,10420,151630,2241,21,7852,327
神奈川,2160,16219,303,7,1759,98
新潟,92,5858,6,0,85,0
富山,235,4874,6,0,207,22
石川,307,3056,10,1,270,27
福井,127,4445,4,0,115,8
⼭梨,80,6681,4,0,75,1
⻑野,86,5531,9,0,77,-
岐阜,208,8212,42,0,159,7
静岡,119,10472,29,0,89,1
愛知,772,16828,241,1,496,35
三重,59,3435,8,0,49,1
滋賀,145,3573,39,2,105,1
京都,586,14909,146,1,422,18
大阪,2766,59472,634,13,2046,86
兵庫,883,20675,113,0,725,45
奈良,184,7978,58,1,124,2
和歌山,109,5306,25,1,81,3
鳥取,5,2261,1,0,4,0
島根,26,2046,1,0,24,0
岡山,45,2507,12,-,32,-
広島,227,9665,40,0,185,3
山口,47,3440,10,0,37,0
徳島,10,1487,5,0,4,1
香川,45,4184,17,0,28,0
愛媛,83,2757,1,0,77,5
高知,77,2155,2,0,72,3
福岡,1174,20267,251,3,890,33
佐賀,57,1864,10,0,47,0
⻑崎,47,5522,30,-,16,1
熊本,57,4607,8,0,46,3
大分,60,5950,0,0,59,1
宮崎,23,1868,5,0,18,0
⿅児島,174,8642,62,0,112,0
沖縄,162,5941,16,1,143,7
(その他),149,-,0,-,149,-
合計,27441,587495,5369,68,21080,991
