都道府名,,陽性者1要する者-,入院治療を(人),,退院又は療養解除となった者の数(人),先記CO
北海道,1.803,45519,121,2,1578,104
青森,35,2087,2,0,32,1
岩手,22,3281,12,0,10,0
宮城,214,8023,22,0,190,2
秋田,50,1.808,4,0,45,0
山形,78,3122,2,1,76,1
福島,172,15380,56,1,116,0
茨城,559,10980,60,3,485,14
栃木,307,23.048,22,3,288,1
群馬,463,15070,75,0,357,19
埼玉,4.055,112.930,531,11,3434,90
千葉,3125,57427,350,10,2712,63
東京,21339,339844,2487,27,18487,365
神奈川,5177,120358,585,21,4468,124
新潟,145,12999,8,0,137,0
富山,400,9802,68,0,318,25
石川,677,8928,136,2,507,34
福井,238,8457,68,3,160,8
山梨,173,9651,12,1,157,
長野,280,15156,78,1,206,1
岐阜,563,18548,26,2,527,10
静岡,485,26523,37,2,447,1
愛知,4.586,56018,650,18,3865,71
三重,383,10081,47,3,334,2
滋賀,458,9475,70,5,381,7
京都,1493,32485,151,1,1317,25
大阪,8826,140261,956,51,7706,157
兵庫,2308,45700,145,11,2110,53
奈良,526,15262,38,4,481,7
和歌山,231,8699,3,0,221,4
鳥取,22,4.574,0,0,22,0
島根,137,4.936,1,0,136,0
岡山,146,7.049,4,-,141,-
広島,459,18083,14,0,442,3
山口,178,7077,75,0,103,0
徳島,141,6107,63,2,70,4
香川,82,8521,10,0,71,1
愛媛,114,3.847,1,0,107,6
高知,130,3159,18,1,109,3
福岡,4.685,41767,802,15,3819,64
佐賀,239,5212,17,0,223,0
長崎,234,15149,16,0,200,3
熊本,534,11756,62,0,450,7
大分,151,13012,14,0,135,2
宮崎,338,8147,23,0,315,1
鹿児島,368,16129,50,1,302,11
沖縄,2172,25883,371,12,1.774,31
長崎船,149,-,0,-,149,-
合計,69450|,1387330,8363,214,59720,1.329
