都首府名,,陽性者1要する者,入院治療を(人),,退院又は療養除となった者の数(和),|OO
北海道,1.809,45969,111,2,1594,104
青森,35,2.104,2,0,32,1
岩手,22,3307,5,0,17,0
宮城,226,8111,33,0,191,2
秋田,50,1.816,3,0,47,0
山形,78,3123,2,1,76,1
福島,173,15569,48,2,125,0
茨城,567,11.063,59,3,494,14
栃木,309,23568,20,3,290,1
群馬,471,15322,65,0,387,19
埼玉,4.079,114213,463,11,3526,90
千葉,3160,58263,352,10,2745,63
東京,21475,344966,2371,28,18735,369
神奈川,5285,120662,589,22,4570,126
新潟,145,13153,8,0,137,0
富山,401,9.850,58,1,327,25
石川,681,9173,127,2,517,37
福井,241,8577,68,4,163,8
山梨,174,9.693,11,1,158,
長野,284,15619,71,0,217,
岐阜,564,18722,24,2,530,10
静岡,487,26858,35,2,451,1
愛知,4.604,56596,605,18,3.927,72
三重,388,10081,50,3,336,2
滋賀,459,9588,66,3,386,7
京都,1.512,32.853,147,3,1.340,25
大阪,8900,142305,931,49,7801,161
兵庫,2322,46127,136,8,2133,53
奈良,531,15262,41,3,482,8
和歌山,231,8730,3,0,221,4
鳥取,22,4.575,0,0,22,0
島根,137,4.949,1,0,136,0
岡山,146,7.049,4,-,141,-
広島,459,18176,13,0,443,3
山口,178,7153,75,0,103,0
徳島,145,6190,63,2,73,4
香川,82,8.602,10,0,71,1
愛媛,114,3855,1,0,107,6
高知,130,3174,14,1,113,3
福岡,4755,42536,734,13,3.954,67
佐賀,239,5259,15,0,225,0
長崎,234,15279,24,0,201,3
熊本,537,11.869,59,1,460,7
大分,153,13261,15,0,136,2
宮崎,338,8161,22,0,316,1
鹿児島,370,16322,49,1,302,11
沖縄,2.200,25134,354,11,1.819,31
長崎船,149,-,0,-,149,-
合計,70051,1.402787,7957,210,60726,1.348
