都府 名,陽性者数 検査数,,%
北海道,1.809,45969,3.9%
青森,35,2104,1.7%
岩手,22,3307,0.7%
宮城,226,8111,2.8%
秋田,50,1.816,2.8%
山形,78,3123,2.5%
福島,173,15569,1.1%
茨城,567,11063,5.1%
栃木,309,23568,1.3%
群馬,471,15322,3.1%
埼玉,4.079,114.213,3.6%
千葉,3.160,58263,5.4%
東京,21475,344.966,6.2%
神奈川,5285,120662,4.4%
新潟,145,13153,1.1%
富山,401,9.850,4.1%
石川,681,9173,7.4%
福井,241,8.577,2.8%
山梨,174,9.693,1.8%
長野,284,15619,1.8%
岐阜,564,18722,3.0%
静岡,487,26858,1.8%
愛知,4.604,56596,8.1%
三重,388,10081,3.8%
滋賀,陽性者 検査数,,%
京都,459,9588,4.8%
大阪,1.512,32.853,4.6%
兵庫,8.900,142305,6.3%
奈良,2322,46127,5.0%
和歌山,531,15262,3.5%
鳥取,231,8730,2.6%
島根,22,4.575,0.5%
岡山,137,4.949,2.8%
広島,146,7.049,2.1%
山口,459,18176,2.5%
徳島,178,7153,2.5%
香川,145,6190,2.3%
愛媛,82,8602,1.0%
高知,114,3855,3.0%
福岡,130,3174,4.1%
佐賀,4.755,42536,11.2%
長崎,239,5259,4.5%
熊本,234,15279,1.5%
大分,537,11.869,4.5%
宮崎,153,13261,1.2%
鹿児島,338,8161,4.1%
沖縄,370,16322,2.3%
長崎船,2.200,25134,8.8%
その 他,149,0,-
合計,70051,1.402787,5.0%
