都首府名,,陽性者数1要する者,入隊治療を(人),,退院又は療養解除となった者の数へ),パビCOO
北海道,1.984,53764,109,1,1.768,107
青森,35,2296,0,0,34,1
岩手,23,3.968,0,0,23,0
宮城,372,9840,75,0,295,2
秋田,53,2.072,2,0,51,0
山形,78,5062,2,1,76,1
福島,228,18556,38,2,188,2
茨城,630,12.210,30,5,583,17
栃木,408,28406,80,1,326,1
群馬,684,19242,137,0,527,19
埼玉,4474,133413,260,8,4.114,100
千葉,3689,76502,328,6,3293,68
東京,24453,422165,2210,28,21.851,392
神奈川,6452,142882,616,30,5700,136
新潟,165,14702,20,1,145,0
富山,410,11.616,5,0,380,25
石川,761,11.892,57,0,658,46
福井,244,9529,8,2,224,10
山梨,180,10396,3,1,171,6
長野,303,18172,,0,299,1
岐阜,603,21299,14,1,579,10
静岡,522,31.929,16,1,505,1
愛知,5131,69800,392,14,4.658,81
三重,480,11.959,79,5,394,7
滋賀,481,11287,20,0,453,8
京都,1.702,40149,85,1,1.592,25
大阪,10205|,172384,744,28,9257,195
兵庫,2615,53368,106,8,2452,57
奈良,558,19513,18,0,531,9
和歌山,238,9083,4,0,227,4
鳥取,36,5375,13,0,23,0
島根,137,5320,0,0,137,0
岡山,148,7861,1,ｰ,146,ｰ
広島,487,19769,20,1,464,3
山口,195,9065,9,1,184,2
徳島,147,6794,22,0,113,9
香川,93,10138,9,0,82,2
愛媛,114,4.002,0,0,108,6
高知,137,3405,1,0,132,4
福岡,5006,46705,175,12,4740,91
佐賀,244,5706,2,0,244,0
長崎,236,17442,3,0,230,3
熊本,571,16092,12,0,551,8
大分,158,15659,4,0,152,2
宮崎,344,8497,2,0,342,1
鹿児島,377,17.910,7,0,370,12
沖縄,2376,36832,157,1,2.178,45
長崎船,149,ｰ,0,ｰ,149,ｰ
合計,79116,1.684028,5904,166,71.699,
