都 道府 名,陽性者 検査人 数,,%
北海道,1.984,53764,3.7%
青森,35,2.296,1.5%
岩手,23,3.968,0.6%
宮城,372,9.840,3.8%
秋田,53,2.072,2.6%
山形,78,5.062,1.5%
福島,228,18556,1.2%
茨城,630,12.210,5.2%
栃木,408,28.406,1.4%
群馬,684,19242,3.6%
埼玉,4.474,133413,3.4%
千葉,3.689,76502,4.8%
東京,24.453,422.165,5.8%
神奈川,6452,142.882,4.5%
新潟,165,14702,1.1%
富山,410,11.616,3.5%
石川,761,11.892,6.4%
福井,244,9.529,2.6%
山梨,180,10396,1.7%
長野,303,18172,1.7%
岐阜,603,21.299,2.8%
静岡,522,31.929,1.6%
愛知,5131,69800,7.4%
三重,480,11.959,4.0%
滋賀,陽性者 検査 人数,,%
京都,481,11.287,4.3%
大阪,1.702,40149,4.2%
兵庫,10.205,172.384,5.9%
奈良,2.615,53368,4.9%
和歌山,558,19513,2.9%
鳥取,238,9083,2.6%
島根,36,5375,0.7%
岡山,137,5320,2.6%
広島,148,7.861,1.9%
山口,487,19769,2.5%
徳島,195,9.065,2.2%
香川,147,6794,2.2%
愛媛,93,10138,0.9%
高知,114,4.002,2.8%
福岡,137,3.405,4.0%
佐賀,5006,46705,10.7%
長崎,244,5706,4.3%
熊本,236,17442,1.4%
大分,571,16092,3.5%
宮崎,158,15659,1.0%
鹿児島,344,8497,4.0%
沖縄,377,17910,2.1%
長崎船,2.376,36832,6.5%
その 他,149,0,-
合計,79116,1.684028,4.7%
