都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2986,80053,383,5,2494,109
青 森,222,4814,99,1,120,3
岩手,27,5309,2,0,25,0
宮城,689,13900,149,4,538,2
秋  田,61,2487,2,0,59,0
山形,86,6112,5,0,80,1
福島,387,28967,31,4,350,6
茨城,764,13826,29,1,717,18
栃木,487,41890,23,0,464,1
群馬,894,29150,93,5,782,19
埼玉,5826,184831,402,9,5318,106
千葉,4997,125480,384,11,4534,79
東京,30881,595581,1708,31,28718,455
神奈川,8646,199811,554,20,7922,170
新潟,183,17727,4,0,179,0
富山,423,14487,1,0,396,26
石川,806,17083,14,0,743,49
福井,256,11058,1,0,244,11
山梨,212,11693,10,0,196,6
長野,339,23025,9,0,329,4
岐阜,681,26803,34,1,636,11
静岡,636,42455,52,0,582,2
愛知,6079,97852,385,11,5600,94
三重,563,15683,9,3,547,7
滋賀,547,14156,17,0,521,9
京都,2014,52347,73,0,1911,30
大阪,12610,234636,813,26,11540,238
兵庫,3202,68117,158,14,2981,63
奈良,639,24620,22,0,607,10
和歌山,274,10406,9,2,256,4
鳥取,38,5770,3,0,35,0
島根,141,6245,1,0,140,0
岡山,273,11198,54,0,172,4
広島,659,27466,11,0,643,5
山口,213,11913,4,0,207,2
徳島,164,7462,0,0,155,9
香川,101,13467,4,0,95,2
愛媛,116,4371,0,0,110,6
高知,144,3640,3,0,137,4
福岡,5217,163838,75,4,5041,101
佐賀,254,7074,0,0,256,0
長崎,244,22311,1,0,240,3
熊本,786,19224,33,1,736,8
大分,159,20779,0,0,156,3
宮崎,367,8791,1,0,366,1
鹿児島,468,22179,5,1,459,12
沖縄,3304,57775,342,7,2906,61
(その他),149,-,0,-,149,-
合計,99214,2427862,6012,161,91392,1754
