都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者うち重症,,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,4387,96113,1160,11,3110,117
青 森,275,6062,55,2,215,5
岩手,33,5793,5,0,26,0
宮城,892,15516,182,3,704,6
秋  田,68,2673,7,1,61,0
山形,92,6856,10,0,81,1
福島,419,34102,38,2,375,6
茨城,854,14524,82,1,754,18
栃木,505,47064,21,4,484,1
群馬,937,31094,38,2,874,20
埼玉,6479,203293,679,8,5687,113
千葉,5499,137855,433,7,4983,83
東京,33377,647611,2226,38,30683,468
神奈川,9604,217129,730,26,8694,180
新潟,216,18840,34,0,182,0
富山,425,15525,2,0,397,26
石川,825,19143,16,0,760,49
福井,268,11881,12,0,245,11
山梨,257,12278,38,1,213,6
長野,393,25014,49,0,343,6
岐阜,765,28467,78,0,675,12
静岡,787,46817,123,2,662,2
愛知,7052,110598,834,15,6120,98
三重,603,16342,42,2,554,7
滋賀,636,14966,79,0,548,9
京都,2187,55661,124,1,2033,30
大阪,14376,260477,1449,63,12651,257
兵庫,3596,74219,277,17,3248,71
奈良,771,26732,108,1,652,11
和歌山,298,10767,21,3,268,4
鳥取,51,6039,14,0,37,0
島根,141,6281,0,0,141,0
岡山,348,14762,118,2,185,6
広島,680,29297,23,1,652,5
山口,233,12510,20,1,211,2
徳島,170,7618,7,0,155,9
香川,108,14533,6,0,100,2
愛媛,117,4476,1,0,110,6
高知,144,3684,0,0,140,4
福岡,5328,175450,111,4,5113,104
佐賀,275,7879,19,0,257,1
長崎,249,24030,4,0,241,3
熊本,866,21157,46,3,795,9
大分,162,22399,2,0,157,3
宮崎,373,8829,3,1,370,1
鹿児島,542,24227,67,0,470,13
沖縄,3597,63313,283,4,3254,65
(その他),149,-,0,-,149,-
合計,110409,2659896,9676,226,98819,1850
