都道府県名,陽性者数 検査人数,,%
北海道,9251,157664,5.9%
青森,315,6975,4.5%
岩手,212,9887,2.1%
宮城,1230,19189,6.4%
秋田,90,3677,2.4%
山形,149,7717,1.9%
福島,509,40917,1.2%
茨城,1692,17233,9.8%
栃木,702,56119,1.3%
群馬,1312,36684,3.6%
埼玉,8830,242738,3.6%
千葉,7239,169433,4.3%
東京,42344,784259,5.4%
神奈川,13126,262887,5.0%
新潟,348,22805,1.5%
富山,461,17678,2.6%
石川,862,22755,3.8%
福井,320,15346,2.1%
山梨,362,13619,2.7%
長野,760,32727,2.3%
岐阜,1161,42063,2.8%
静岡,1782,60541,2.9%
愛知,10528,143080,7.4%
三重,905,19848,4.6%
滋賀,804,28577,2.8%
京都,2714,67950,4.0%
大阪,21404,338860,6.3%
兵庫,5868,99809,5.9%
奈良,1229,34463,3.6%
和歌山,478,13801,3.5%
鳥取,61,17738,0.3%
島根,152,7158,2.1%
岡山,629,20802,3.0%
広島,897,35884,2.5%
山口,402,19028,2.1%
徳島,182,7848,2.3%
香川,154,17757,0.9%
愛媛,331,7393,4.5%
高知,180,3871,4.6%
福岡,5932,206315,2.9%
佐賀,329,10160,3.2%
長崎,273,27725,1.0%
熊本,1055,24650,4.3%
大分,342,28985,1.2%
宮崎,527,10183,5.2%
鹿児島,629,27883,2.3%
沖縄,4447,74544,6.0%
長崎船,149,0,-
合計,153658,3337225,4.6%
