,,11/2~11/8,11/9~11/15,11/16~11/22,11/23~11/29,11/30~12/6,12/7~12/13,12/14~12/20,12/21~12/27,12/28~1/3,1/4~1/10,1/11~1/17,1/18~1/24,1/25~1/31,2/1~2/7,2/8~2/14,2/15~2/21,2/22~2/28,3/1~3/7,3/8~3/14,3/15~3/21,3/22~3/28,計
抗原定量検査,検疫所,10786,10581,11909,13167,14632,16837,19690,16802,13652,15587,22233,20273,10351,9759,9139,9782,12639,13511,15757,16732,13998,297817
,地方衛生研究所･保健所,0,117,0,230,549,961,1136,244,500,712,1847,1258,2174,984,1386,694,883,1616,1232,1633,1226,19382
,医療機関(大学病院を含む),10056,12808,15923,16406,19342,22471,26107,29419,25828,39394,36240,39102,38258,37992,37539,39024,35798,38319,38658,37057,37231,632972
,計,20842,23506,27832,29803,34523,40269,46933,46465,39980,55693,60320,60633,50783,48735,48064,49500,49320,53446,55647,55422,52455,950171
抗原定性検査,検疫所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,地方衛生研究所･保健所,0,1,0,3,0,0,6,6,0,2,0,3,6,5,0,0,2,2063,2432,2750,2682,9961
,医療機関(大学病院を含む),18139,23076,29361,31117,34832,41240,46392,54723,50155,76614,71846,72247,69747,65944,58924,59043,51948,54271,53708,52799,55032,1071158
,計,18139,23077,29361,31120,34832,41240,46398,54729,50155,76616,71846,72250,69753,65949,58924,59043,51950,56334,56140,55549,57714,1081119
総計,検疫所,10786,10581,11909,13167,14632,16837,19690,16802,13652,15587,22233,20273,10351,9759,9139,9782,12639,13511,15757,16732,13998,297817
,地方衛生研究所･保健所,0,118,0,233,549,961,1142,250,500,714,1847,1261,2180,989,1386,694,885,3679,3664,4383,3908,29343
,医療機関(大学病院を含む),28195,35884,45284,47523,54174,63711,72499,84142,75983,116008,108086,111349,108005,103936,96463,98067,87746,92590,92366,89856,92263,1704130
,計,38981,46583,57193,60923,69355,81509,93331,101194,90135,132309,132166,132883,120536,114684,106988,108543,101270,109780,111787,110971,110169,2031290
