都道府県名,陽性者数 検査人数,,%
北海道,40265,728396,5.5%
青森,2444,47644,5.1%
岩手,1564,79285,2.0%
宮城,9012,150559,6.0%
秋田,761,14046,5.4%
山形,2004,61862,3.2%
福島,4689,257885,1.8%
茨城,10027,32980,30.4%
栃木,6629,271805,2.4%
群馬,7970,182168,4.4%
埼玉,44892,914438,4.9%
千葉,38220,640675,6.0%
東京,165598,2375529,7.0%
神奈川,63778,972090,6.6%
新潟,3340,154152,2.2%
富山,1949,68443,2.8%
石川,3861,106327,3.6%
福井,1062,61075,1.7%
山梨,1777,47764,3.7%
長野,4920,189515,2.6%
岐阜,9226,253403,3.6%
静岡,8787,372339,2.4%
愛知,49445,763178,6.5%
三重,5115,134562,3.8%
滋賀,5385,139236,3.9%
京都,16290,266837,6.1%
大阪,101552,1946160,5.2%
兵庫,40406,480047,8.4%
奈良,8057,158592,5.1%
和歌山,2648,41007,6.5%
鳥取,466,78980,0.6%
島根,548,28600,1.9%
岡山,7533,153838,4.9%
広島,11133,523290,2.1%
山口,3058,113166,2.7%
徳島,1639,61078,2.7%
香川,2062,81016,2.5%
愛媛,2736,91432,3.0%
高知,1645,10508,15.7%
福岡,34890,783765,4.5%
佐賀,2538,52599,4.8%
長崎,3039,117185,2.6%
熊本,6386,80173,8.0%
大分,3460,156541,2.2%
宮崎,3056,43591,7.0%
鹿児島,3554,106924,3.3%
沖縄,19247,231850,8.3%
長崎船,149,0,-
合計,768812,14626535,5.3%
